term,zh_cn
QuestLoc_Blackout_QuestName,断电
QuestLoc_Blackout_QuestObjective_1,在汽车工场寻找杰克的线索。
QuestLoc_Blackout_QuestShortDescription,在一场新年晚会后，监督者的儿子，杰克失踪了！
QuestLoc_BoogieWoogieBugleBoy_Conversation_1_NPCEnd_1,我……那个……攻击！！！
QuestLoc_BoogieWoogieBugleBoy_Conversation_1_NPCStart_1,你们人类就是不懂得接受暗示，不是吗？立即给我离开，不然你们就看着办吧……
QuestLoc_BoogieWoogieBugleBoy_Conversation_1_NPCStart_2,烧光杀光抢光，你的避难所完了！当然！
QuestLoc_BoogieWoogieBugleBoy_Conversation_1_NPCStart_3,至于编辑……你是永远不可能找到他的！
QuestLoc_BoogieWoogieBugleBoy_Conversation_1_Team_1,不可能？据说新波士顿号角报就在这个核子可乐仓库里。
QuestLoc_BoogieWoogieBugleBoy_QuestLongDescription,结果《新波士顿号角报》只是一个骗局 - 我们唯一的领导就是吹号员，他一直就躲在大无敌超市里。是时候去追踪他然后询问一些信息了！
QuestLoc_BoogieWoogieBugleBoy_QuestName,迷人的跳舞吹号员
QuestLoc_BoogieWoogieBugleBoy_QuestObjective_1,找到吹号员。
QuestLoc_BoogieWoogieBugleBoy_QuestShortDescription,找到吹号员。
QuestLoc_BottlecapBlues_Conversation_1_NPCEnd_1,是的……他们带走了瓶瓶和盖盖，带到了177号避难所，小心。
QuestLoc_BottlecapBlues_Conversation_1_NPCStart_1,谢谢！我觉得那些老鼠八成会吃了我的。
QuestLoc_BottlecapBlues_Conversation_1_NPCStart_2,总比和那些核世界出来的掠夺者们待在一起的要好。
QuestLoc_BottlecapBlues_Conversation_1_NPCStart_3,我在他们离开之前就偷偷地溜开了。
QuestLoc_BottlecapBlues_Conversation_1_Team_1,掠夺者们手上有瓶瓶和盖盖吗？
QuestLoc_BottlecapBlues_QuestLongDescription,瓶瓶和盖盖被来自核世界的掠夺者们绑架了！最近有人在一个废弃的工厂里见到过他们，请前往那里进行援救。
QuestLoc_BottlecapBlues_QuestName,瓶盖忧郁
QuestLoc_BottlecapBlues_QuestObjective_1,在废弃的工厂里找到瓶瓶和盖盖的踪迹。
QuestLoc_BottlecapBlues_QuestShortDescription,追踪瓶瓶和盖盖的绑架犯。
QuestLoc_BountyBash_Conversation_1_NPCStart_1,那么，你就是那个要去打倒巴什的人，对吗？
QuestLoc_BountyBash_Conversation_1_NPCStart_2,那个掠夺者不是很聪明，但是还是相当的危险。
QuestLoc_BountyBash_Conversation_1_NPCStart_3,你对他开枪的话，他会发了疯地朝你冲过来。
QuestLoc_BountyBash_Conversation_1_NPCStart_4,你必须空手白刃将他打败！
QuestLoc_BountyBash_QuestLongDescription,大名鼎鼎的掠夺者头领“巴什”树立了太多敌人，请用他的项上人头来换取悬赏！
QuestLoc_BountyBash_QuestName,悬赏：巴什
QuestLoc_BountyBash_QuestObjective_1,杀死巴什。
QuestLoc_BountyBash_QuestShortDescription,打败掠夺者头目巴什然后去拿你的奖励！
QuestLoc_BountyBash_RaiderLine_1,你！你竟然敢打巴什！巴什要把你揍个稀巴烂！
QuestLoc_BountyButcher_Conversation_1_NPCStart_1,等等，你们是来这里解决“屠夫”的吗？真的？
QuestLoc_BountyButcher_Conversation_1_NPCStart_2,呃，那祝你好运了，如果你能回来的话，赏金就是你的了。
QuestLoc_BountyButcher_Conversation_1_NPCStart_3,如果你没有回……好吧，你应该会没事的。
QuestLoc_BountyButcher_Conversation_1_NPCStart_4,很高兴认识你。
QuestLoc_BountyButcher_QuestLongDescription,有一份著名阿尔法死亡爪“屠夫”的悬赏，别担心，我保证这只是个昵称，你把她打倒了，你就可以获得大量的悬赏。
QuestLoc_BountyButcher_QuestName,悬赏：屠夫
QuestLoc_BountyButcher_QuestObjective_1,杀死“屠夫”。
QuestLoc_BountyButcher_QuestShortDescription,消灭阿尔法死亡爪“屠夫”，赢得你的奖励！
QuestLoc_BountyOlOneEye_Conversation_1_NPCStart_1,呃，你来这里是为了赏金？
QuestLoc_BountyOlOneEye_Conversation_1_NPCStart_2,那么，独眼就是你见过最让人头疼的蛮子了。
QuestLoc_BountyOlOneEye_Conversation_1_NPCStart_3,老怪物吃了我最喜欢的一双袜子！
QuestLoc_BountyOlOneEye_Conversation_1_NPCStart_4,你干掉他，就可以拿到奖励。
QuestLoc_BountyOlOneEye_QuestLongDescription,有人发布了一个安管闲事的蛮子：独眼的悬赏，把那家伙干掉，然后来获取你的奖励！
QuestLoc_BountyOlOneEye_QuestName,悬赏：独眼
QuestLoc_BountyOlOneEye_QuestObjective_1,杀死独眼。
QuestLoc_BountyOlOneEye_QuestShortDescription,让独眼解脱，然后去拿你的奖励！
QuestLoc_BountyShiner_Conversation_1_NPCStart_1,噢，不错，你一定可以成为打败他的家伙。
QuestLoc_BountyShiner_Conversation_1_NPCStart_2,你也应该知道吧，那个尸鬼的皮可不是一般的硬。
QuestLoc_BountyShiner_Conversation_1_NPCStart_3,能量武器估计是唯一能够穿透他皮肤的武器了吧。
QuestLoc_BountyShiner_Conversation_1_NPCStart_4,祝你好运。
QuestLoc_BountyShiner_QuestLongDescription,被称为“闪亮”的发光者最后一次惹麻烦了。把他干掉，然后回去拿你的奖励。
QuestLoc_BountyShiner_QuestName,悬赏：闪亮
QuestLoc_BountyShiner_QuestObjective_1,杀死闪亮。
QuestLoc_BountyShiner_QuestShortDescription,打倒发光者闪亮然后去赢得你的奖励！
QuestLoc_BountySnips_Conversation_1_NPCStart_1,你是来这里揭“铁剪”的榜的吗？
QuestLoc_BountySnips_Conversation_1_NPCStart_2,好吧，你应该知道，辐射蝎的皮肤和避难所的门有的一拼。
QuestLoc_BountySnips_Conversation_1_NPCStart_3,我当然希望你带了大家伙来解决这只辐射蝎。
QuestLoc_BountySnips_Conversation_1_NPCStart_4,你解决掉他，就可以获得应得的奖励。
QuestLoc_BountySnips_QuestLongDescription,有一份辐射蝎“铁剪”的悬赏，一只发光的辐射蝎，把它搞定之后你就可以获得一大笔悬赏。
QuestLoc_BountySnips_QuestName,悬赏：铁剪
QuestLoc_BountySnips_QuestObjective_1,消灭“铁剪”。
QuestLoc_BountySnips_QuestShortDescription,消灭发光的辐射蝎“铁剪”，赢得你的奖励！
QuestLoc_BountyYak_Conversation_1_NPCStart_1,谢天谢地你来了！
QuestLoc_BountyYak_Conversation_1_NPCStart_2,牦牛一直在偷我们的食物，而且还臭的要命！
QuestLoc_BountyYak_Conversation_1_NPCStart_3,你不会想要接近她的。
QuestLoc_BountyYak_Conversation_1_NPCStart_4,务必用好点的来复枪，不然估计遭殃的就是你自己了！
QuestLoc_BountyYak_QuestLongDescription,鼹鼠妈妈“牦牛”失去了它最后的甜点！教训一下牦牛，然后回去拿你的奖励。
QuestLoc_BountyYak_QuestName,悬赏：牦牛
QuestLoc_BountyYak_QuestObjective_1,打倒牦牛。
QuestLoc_BountyYak_QuestShortDescription,干掉鼹鼠妈妈牦牛，然后获取你的奖励！
QuestLoc_BreakingalltheRecords_Conversation_1_NPCStart_1,我可以发誓就是那个，我倒希望不是。
QuestLoc_BreakingalltheRecords_QuestLongDescription,这里有一个旧威尔逊玩具厂，我们一直都没有去调查过，也许教练和拉基·乔宾逊的运动衫……就在那儿……
QuestLoc_BreakingalltheRecords_QuestName,打破所有记录
QuestLoc_BreakingalltheRecords_QuestObjective_1,寻找拉基·乔宾逊的棒球运动衫。
QuestLoc_BreakingalltheRecords_QuestShortDescription,找到拉奇·乔宾森的棒球衫。
QuestLoc_Broadsides_Conversation_1_NPCEnd_1,我们从819号避难所回来了，不过我们在那里只找到了一份写着“一只尸鬼，两只尸鬼……”的信。
QuestLoc_Broadsides_Conversation_1_NPCEnd_2,没错！我们就是要出去找几个掠夺者练练手 - 我注定要成为大英雄！819号避难所的人，你们要小心了！
QuestLoc_Broadsides_Conversation_1_NPCStart_1,谢谢你帮我们解决了这里的问题！
QuestLoc_Broadsides_Conversation_1_NPCStart_2,我们靠谱的任务人手急缺。
QuestLoc_Broadsides_Conversation_1_NPCStart_3,没有人能做清理工作！
QuestLoc_Broadsides_Conversation_1_Team_1,你是怎么弄到《新波士顿号角报》的文件的？
QuestLoc_Broadsides_Conversation_1_Team_2,那么就是说，你可以进入新波士顿号角报内部获得名单吗？
QuestLoc_Broadsides_QuestLongDescription,《新波士顿号角报》是什么？对于我们来说，它是一次与世界搭接的桥梁！名誉！财富！瓶盖！
QuestLoc_Broadsides_QuestName,放眼天下
QuestLoc_Broadsides_QuestObjective_1,调查关于《新波士顿号角报》的事情。
QuestLoc_Broadsides_QuestShortDescription,寻找关于《新波士顿号角报》的线索。
QuestLoc_BugHunt_QuestLongDescription,猎人比格·维斯向勇者们提供了一系列的挑战，其中第一个就是打倒一只发光的辐射蟑螂，是时候让子弹上膛了！
QuestLoc_BugHunt_QuestName,蟑螂狩猎
QuestLoc_BugHunt_QuestObjective_1,杀死发光的辐射蟑螂。
QuestLoc_BugHunt_QuestShortDescription,在工厂里杀死发光的辐射蟑螂。
QuestLoc_Burnout_QuestLongDescription,鼹鼠！还有比这更加恶心的生物吗？赶紧拿个喷火器消灭它们吧。
QuestLoc_Burnout_QuestName,烧烧烧！
QuestLoc_Burnout_QuestObjective_1,清剿鼹鼠的巢穴。
QuestLoc_Burnout_QuestShortDescription,把该死的鼹鼠放到火把上烤。
QuestLoc_ByHookorbyCook_Conversation_1_NPCEnd_1,这依然表明这是一家高品质餐厅！
QuestLoc_ByHookorbyCook_Conversation_1_NPCEnd_2,那可是勃艮第炖牛肉，美味绝伦！
QuestLoc_ByHookorbyCook_Conversation_1_NPCEnd_3,没有杏仁，你倒是做点杏仁糖试试！
QuestLoc_ByHookorbyCook_Conversation_1_NPCStart_1,哎呀！居民找到我们了！
QuestLoc_ByHookorbyCook_Conversation_1_NPCStart_2,哼，你们或许能挺过我的烹饪……
QuestLoc_ByHookorbyCook_Conversation_1_NPCStart_3,但休想在我的枪下活命！
QuestLoc_ByHookorbyCook_Conversation_1_Team_1,食物难吃，服务差劲……我给这里打一星。
QuestLoc_ByHookorbyCook_Conversation_1_Team_2,你做完最后一餐了，大厨。
QuestLoc_ByHookorbyCook_Conversation_1_Team_3,你所有蛋糕都用翻糖，必须为此付出代价！
QuestLoc_ByHookorbyCook_QuestLongDescription,事实证明，那个厨师*真*的想害死我们所有人。他似乎和一帮一直觊觎我们避难所的掠夺者是一伙的。他一暴露就逃走了，但据我们所知，他打算在废弃的红火箭加油站与其他掠夺者碰头。
QuestLoc_ByHookorbyCook_QuestName,不择‘厨’段
QuestLoc_ByHookorbyCook_QuestObjective_1,杀死厨师。
QuestLoc_ByHookorbyCook_QuestShortDescription,杀死叛逃厨师。
QuestLoc_CabinFever_Conversation_1_NPCEnd_1,接敌！接敌！
QuestLoc_CabinFever_Conversation_1_NPCEnd_2,哎呀。
QuestLoc_CabinFever_Conversation_1_NPCEnd_3,隐形力场起作用了！
QuestLoc_CabinFever_Conversation_1_NPCStart_1,哦看，一个地面居民……
QuestLoc_CabinFever_Conversation_1_NPCStart_2,还好咱们的实验性隐形力场开着。
QuestLoc_CabinFever_Conversation_1_NPCStart_3,这样就能在它自然栖息地里研究它，还不被发现。
QuestLoc_CabinFever_Conversation_1_NPCStart_4,嘘，它正朝我们这边来……
QuestLoc_CabinFever_Conversation_1_Team_1,你们知道我看得见你们，对吧？
QuestLoc_CabinFever_Conversation_1_Team_2,我突然有股冲动，想朝那边那片空地开一枪。
QuestLoc_CabinFever_Conversation_1_Team_3,我就当没看见也没听见好了。
QuestLoc_CabinFever_QuestLongDescription,你的一个居民听到一间废弃的小屋中传来哭喊声。他们应该去调查一下，看看是否有人需要帮助。
QuestLoc_CabinFever_QuestName,小屋热
QuestLoc_CabinFever_QuestObjective_1,调查从小屋传来的噪音。
QuestLoc_CabinFever_QuestShortDescription,调查从一间废弃小屋传来的奇怪声音。
QuestLoc_CabinWithoutTheWoods_QuestLongDescription,在探索废土时，你的一个居民发现了一间偏僻阴森的小屋。应该没有闹鬼……大概吧。
QuestLoc_CabinWithoutTheWoods_QuestName,旷野小屋
QuestLoc_CabinWithoutTheWoods_QuestObjective_1,消灭尸鬼。
QuestLoc_CabinWithoutTheWoods_QuestShortDescription,在废弃的小屋中消灭尸鬼。
QuestLoc_CanineRecovery_Conversation_1_NPCEnd_1,那个露宿用的睡袋被别人偷走了，也许被带到了199号避难所，那里将会是我们了解的地方！
QuestLoc_CanineRecovery_Conversation_1_NPCStart_1,入侵者！你一定是让我们的囚犯逃跑的那个人。
QuestLoc_CanineRecovery_Conversation_1_NPCStart_2,我们可没时间把他们绑起来还要照顾他们的吃喝拉撒，就是让他们自个儿逃跑！
QuestLoc_CanineRecovery_Conversation_1_NPCStart_3,现在可不是赞扬那些追捕逃犯的人的时代了！
QuestLoc_CanineRecovery_Conversation_1_Team_1,那么，大斯派已经不在这里了？
QuestLoc_CanineRecovery_QuestLongDescription,我得去搜查一间旧仓库，然后找到大斯派。掠夺者们经常会利用这些地方作为藏匿点，所以我必须小心。
QuestLoc_CanineRecovery_QuestName,找回大狗
QuestLoc_CanineRecovery_QuestObjective_1,找到大斯派。
QuestLoc_CanineRecovery_QuestShortDescription,在旧仓库寻找大斯派。
QuestLoc_CantStopTheSignal_Conversation_1_NPCStart_1,你知道我花了多少时间才把这里搞定吗？
QuestLoc_CantStopTheSignal_Conversation_1_NPCStart_2,我打算训练一支辐射蟑螂大军。
QuestLoc_CantStopTheSignal_Conversation_1_NPCStart_3,而现在，你毁了一切！
QuestLoc_CantStopTheSignal_Conversation_1_NPCStart_4,你必须为此付出代价！
QuestLoc_CantStopTheSignal_QuestLongDescription,一个奇怪、尖利的声音从无线电中传来，信号似乎是从一幢老旧的废弃大楼里传来的。
QuestLoc_CantStopTheSignal_QuestName,无法阻挡的信号
QuestLoc_CantStopTheSignal_QuestObjective_1,找到信号源。
QuestLoc_CantStopTheSignal_QuestShortDescription,调查一个奇怪的无线电信号。
QuestLoc_CapsRun_QuestLongDescription,在废土，有一个大型瓶盖隐藏点，上面写着你的名字。
QuestLoc_CapsRun_QuestName,瓶盖竞争
QuestLoc_CapsRun_QuestObjective_1,找到主瓶盖藏匿点。
QuestLoc_CapsRun_QuestObjective_2,找到更多的瓶盖藏匿点。
QuestLoc_CapsRun_QuestObjective_3,找到更多的瓶盖藏匿点。
QuestLoc_CapsRun_QuestShortDescription,找到隐藏的瓶盖藏匿点。
QuestLoc_CapturedCritter_QuestLongDescription,有一头可怜兮兮的动物迷路了，它原本想要来你的避难所的，更加糟糕的是一些饥肠辘辘的尸鬼发现了它。
QuestLoc_CapturedCritter_QuestName,困境中的宠物
QuestLoc_CapturedCritter_QuestObjective_1,从饥肠辘辘的尸鬼手中救出宠物。
QuestLoc_CapturedCritter_QuestShortDescription,从饥肠辘辘的尸鬼手中救出迷路的宠物。
QuestLoc_CheapBeerintheBleacherSeats_Conversation_1_NPCStart_1,并没有看到运动衫，不过我肯定我看到了一件不错的便装。
QuestLoc_CheapBeerintheBleacherSeats_QuestLongDescription,如果教练曾经在莱克维尔图书馆的话，那他也肯定离开很久了，也许他去了法隆百货商店买能配上那件运动衫的裤子了……
QuestLoc_CheapBeerintheBleacherSeats_QuestName,露天座位的廉价啤酒
QuestLoc_CheapBeerintheBleacherSeats_QuestObjective_1,寻找拉基·乔宾逊的棒球运动衫。
QuestLoc_CheapBeerintheBleacherSeats_QuestShortDescription,找到Rackie Jobinson的棒球衫。
QuestLoc_CheerfortheGhouls_Conversation_1_NPCEnd_1,快快快！拿着，我们一直藏着这个，想要送给你！
QuestLoc_CheerfortheGhouls_Conversation_1_NPCEnd_2,我们走着瞧，光皮肤！滚出去。
QuestLoc_CheerfortheGhouls_Conversation_1_NPCStart_1,找到你了！圣诞老人可不会忘了我们。
QuestLoc_CheerfortheGhouls_Conversation_1_NPCStart_2,我们这一整年都在做一只安分的尸鬼！
QuestLoc_CheerfortheGhouls_Conversation_1_NPCStart_3,你会告诉圣诞老人的，对吗？
QuestLoc_CheerfortheGhouls_Conversation_1_Team_1,当然！他很快就会来的，哈哈！
QuestLoc_CheerfortheGhouls_Conversation_1_Team_2,对不起，尸鬼今年全上了捣蛋鬼名单，你们什么都别想收到了。
QuestLoc_CheerfortheGhouls_Conversation_2_NPCEnd_1,呃，好吧，那么请告诉圣诞老人，我们明年一定会乖乖的！
QuestLoc_CheerfortheGhouls_Conversation_2_NPCEnd_2,去死吧，光皮肤！
QuestLoc_CheerfortheGhouls_Conversation_2_NPCStart_1,你是圣诞老人的助手，对吗？
QuestLoc_CheerfortheGhouls_Conversation_2_NPCStart_2,我们觉得这一年不止是“庆祝”就够了的。
QuestLoc_CheerfortheGhouls_Conversation_2_NPCStart_3,杀了你，然后把你的东西抢走要容易的多！
QuestLoc_CheerfortheGhouls_Conversation_2_Team_1,你们不能杀了我们！圣诞老人会怎么想？也许你们这辈子都下不了淘气鬼名单了。
QuestLoc_CheerfortheGhouls_Conversation_2_Team_2,没有人能在今年的圣诞节行窃！全员戒备！
QuestLoc_CheerfortheGhouls_Conversation_3_NPCEnd_1,我猜我们有一些你们感兴趣的东西。
QuestLoc_CheerfortheGhouls_Conversation_3_NPCEnd_2,给你。
QuestLoc_CheerfortheGhouls_Conversation_3_NPCEnd_3,嘿，你是对的。
QuestLoc_CheerfortheGhouls_Conversation_3_NPCEnd_4,好吧，也许假期还没完呢！
QuestLoc_CheerfortheGhouls_Conversation_3_NPCStart_1,嘿，你们好，光皮肤。我的名字是吉姆，这里的管事。
QuestLoc_CheerfortheGhouls_Conversation_3_NPCStart_2,谢谢你们能来替我们庆祝。
QuestLoc_CheerfortheGhouls_Conversation_3_NPCStart_3,毕竟是过节嘛，我可以送你回家，再捎上一份礼物。
QuestLoc_CheerfortheGhouls_Conversation_3_NPCStart_4,所以，你想要些什么圣诞礼物，光皮肤？
QuestLoc_CheerfortheGhouls_Conversation_3_Team_1,枪，大量的枪。
QuestLoc_CheerfortheGhouls_Conversation_3_Team_2,我们可是潮流一族，给我们一些新的服装吧，谢谢！
QuestLoc_CheerfortheGhouls_Conversation_3_Team_3,要点瓶盖总没错吧。
QuestLoc_CheerfortheGhouls_Conversation_3_Team_4,什么都不要，我们是自愿来庆祝的！
QuestLoc_CheerfortheGhouls_QuestLongDescription,没有人记得那些可怜的尸鬼也是需要过节的！
QuestLoc_CheerfortheGhouls_QuestName,替尸鬼过节
QuestLoc_CheerfortheGhouls_QuestObjective_1,与尸鬼头目交谈。
QuestLoc_CheerfortheGhouls_QuestObjective_2,与尸鬼们交谈。
QuestLoc_CheerfortheGhouls_QuestObjective_3,与尸鬼们交谈。
QuestLoc_CheerfortheGhouls_QuestShortDescription,庆祝圣诞节！
QuestLoc_CheesePlease_Conversation_1_NPCEnd_1,真的吗？谢谢！我们正发愁怎么处理掉它。我们甚至试过这个！
QuestLoc_CheesePlease_Conversation_1_NPCEnd_2,好吧，随你便！
QuestLoc_CheesePlease_Conversation_1_NPCEnd_3,你们真吃那玩意儿？我们可以杀了你们，但听起来这个更惨……
QuestLoc_CheesePlease_Conversation_1_NPCStart_1,你们想干什么，居民们？
QuestLoc_CheesePlease_Conversation_1_NPCStart_2,这个地方没有什么值钱的东西，只有垃圾。
QuestLoc_CheesePlease_Conversation_1_NPCStart_3,你应该掉头离开。
QuestLoc_CheesePlease_Conversation_1_Team_1,我们只是来清理机器上的灰色粘液。
QuestLoc_CheesePlease_Conversation_1_Team_2,得先拿到我们要的东西才行。
QuestLoc_CheesePlease_Conversation_1_Team_3,我们的厨师要我们带加工奶酪回去，我们一定做到。
QuestLoc_CheesePlease_QuestLongDescription,厨师很高兴——也很惊讶——你居然能毫发无损地回来！他现在需要加工奶酪，也就是灰色黄金，那种能经受时间流逝和核战争的奇迹食物。旧奶酪工厂里可能还剩下一些。
QuestLoc_CheesePlease_QuestName,奶酪，拜托！
QuestLoc_CheesePlease_QuestObjective_1,从工厂取回奶酪酱。
QuestLoc_CheesePlease_QuestObjective_2,杀死发光者。
QuestLoc_CheesePlease_QuestShortDescription,从废弃工厂获取加工奶酪。
QuestLoc_CheesePlease_RaiderLine_1,我们满怀期待来到这里。
QuestLoc_CheesePlease_RaiderLine_2,这地方似乎没有被奶酪污染……
QuestLoc_CheesePlease_RaiderLine_3,尸鬼喜欢高达奶酪吗？
QuestLoc_ChooChoo_Conversation_1_NPCStart_1,你就是痛苦列车？别逗我笑了！
QuestLoc_ChooChoo_Conversation_1_NPCStart_2,你别想糊弄我们！
QuestLoc_ChooChoo_QuestLongDescription,你的一名居民不停地自称“痛苦列车”。咱们就让这个绰号成真吧……
QuestLoc_ChooChoo_QuestName,呜~~~呜！
QuestLoc_ChooChoo_QuestObjective_1,杀死掠夺者Boss。
QuestLoc_ChooChoo_QuestShortDescription,派一个避难所居民使用射钉步枪进行大肆破坏！
QuestLoc_ChristmasattheRaiderCamp_Conversation_1_NPCEnd_1,他会给我们免费的东西？好吧，你们这些居民可以通过了。
QuestLoc_ChristmasattheRaiderCamp_Conversation_1_NPCEnd_2,你死定了，跟着完蛋的就是北极那个圣诞老人！
QuestLoc_ChristmasattheRaiderCamp_Conversation_1_NPCStart_1,哦，是的，这是圣诞老人的小助手们！
QuestLoc_ChristmasattheRaiderCamp_Conversation_1_NPCStart_2,赶紧，我们有定居点可以抢了！
QuestLoc_ChristmasattheRaiderCamp_Conversation_1_Team_1,圣诞老人在看着你们呢，表现得乖乖的，才有礼物拿！
QuestLoc_ChristmasattheRaiderCamp_Conversation_1_Team_2,圣诞老人送来的礼物是……死亡！你们去死吧！
QuestLoc_ChristmasattheRaiderCamp_Conversation_2_NPCEnd_1,什么？为什么不呢？“一闪一闪亮晶晶……”
QuestLoc_ChristmasattheRaiderCamp_Conversation_2_NPCEnd_2,是时候造反了！
QuestLoc_ChristmasattheRaiderCamp_Conversation_2_NPCStart_1,圣诞老人的助手，对吗？
QuestLoc_ChristmasattheRaiderCamp_Conversation_2_NPCStart_2,好吧，我们今年确实很淘气。
QuestLoc_ChristmasattheRaiderCamp_Conversation_2_NPCStart_3,不过现在，把你们的东西都交出来！
QuestLoc_ChristmasattheRaiderCamp_Conversation_2_Team_1,我们能做的就只有庆祝节日！开始唱节日歌吧！
QuestLoc_ChristmasattheRaiderCamp_Conversation_2_Team_2,我们来这里能给你们的就只有糊在脸上的拳头！
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_NPCEnd_1,搞定！
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_NPCEnd_2,哈！就是这样。
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_NPCEnd_3,圣诞节取消！
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_NPCStart_1,我是吝啬鬼老大，我原本很讨厌圣诞节。
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_NPCStart_2,但是你们居民来替我们过节，我改变了想法！
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_NPCStart_3,请让我们送你们一些礼物吧！
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_Team_1,来点新潮的衣服怎么样？
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_Team_2,来些瓶盖？大量的瓶盖。
QuestLoc_ChristmasattheRaiderCamp_Conversation_3_Team_3,你还在淘气鬼名单上嗯，吝啬鬼，见鬼去吧！
QuestLoc_ChristmasattheRaiderCamp_QuestLongDescription,哪怕是掠夺者也是想要过节的！
QuestLoc_ChristmasattheRaiderCamp_QuestName,掠夺者营地的圣诞节
QuestLoc_ChristmasattheRaiderCamp_QuestObjective_1,与吝啬鬼老大交谈。
QuestLoc_ChristmasattheRaiderCamp_QuestObjective_2,与掠夺者们交谈。
QuestLoc_ChristmasattheRaiderCamp_QuestObjective_3,与掠夺者们交谈。
QuestLoc_ChristmasattheRaiderCamp_QuestShortDescription,庆祝圣诞节！
QuestLoc_ChristmasattheRaiderCamp_RaiderLine_1,看起来我们肯定上了淘气鬼名单！
QuestLoc_ChristmasattheRaiderCamp_RaiderLine_2,你，你脑袋上要有个洞了！
QuestLoc_ChristmasattheRaiderCamp_RaiderLine_3,请替我向圣诞老人问好！
QuestLoc_CleanUpOnAisleFive_QuestLongDescription,一队掠夺者盘踞在大无敌超市，并且以掠夺当地居民为生，是时候把他们的头头干掉了！
QuestLoc_CleanUpOnAisleFive_QuestName,清理五号通道
QuestLoc_CleanUpOnAisleFive_QuestObjective_1,在大无敌超市杀死掠夺者Boss。
QuestLoc_CleanUpOnAisleFive_QuestShortDescription,在大无敌超市杀死掠夺者Boss。
QuestLoc_CleanUpOnAisleFive_RaiderLine_1,想要什么样的棺材，纸做的还是塑料的？！
QuestLoc_CleanUpOnAisleFive_RaiderLine_2,是时候大闹一场了，清理五号通道！
QuestLoc_ClearingAPath_Conversation_1_NPCEnd_1,把840号避难所的那些恶心的尸鬼清理掉怎么样？祝你们好运，士兵们！
QuestLoc_ClearingAPath_Conversation_1_NPCStart_1,谢谢你们替我把那些恶心的东西清理掉。
QuestLoc_ClearingAPath_Conversation_1_NPCStart_2,你知道，你自己会成为一个相当好的士兵。
QuestLoc_ClearingAPath_Conversation_1_NPCStart_3,事成之后，我们会给你个钢铁兄弟会荣誉成员的头衔的！
QuestLoc_ClearingAPath_Conversation_1_Team_1,谢谢，我还能帮上什么忙吗？
QuestLoc_ClearingAPath_QuestLongDescription,有一群名为“钢铁兄弟会”的士兵，坚持认为避难所可以作为十分理想的哨站！根据他们的情况，我们得去提供一些火力支援。我们得从附近的机械零件工厂开始。
QuestLoc_ClearingAPath_QuestName,清理一条道路
QuestLoc_ClearingAPath_QuestObjective_1,替钢铁兄弟会在工厂清理出一条道路。
QuestLoc_ClearingAPath_QuestShortDescription,在机械零件工厂提供火力支援。
QuestLoc_ClimbingtheRanks_QuestlineName,晋级上位
QuestLoc_CollateralMurder_Conversation_1_NPCEnd_1,哦，是的，我们一直都在观察着他，等待正确的时机发动进攻。试试北边离这儿不远的旧大无敌超市吧。
QuestLoc_CollateralMurder_Conversation_1_NPCStart_1,我是唯一留下来的，我建议你用那个对抗暴徒和黄色新闻记者。
QuestLoc_CollateralMurder_Conversation_1_NPCStart_2,那个可笑的“吹号员”还有他的编辑……我见到他们就可以看出来他们只是一群卑鄙的推销员，我可不会买账！
QuestLoc_CollateralMurder_Conversation_1_NPCStart_3,“随便你！”那个“吹号员”说道。然后有史以来最凶残的掠夺者攻击就发生了，那可真是一场大屠杀。
QuestLoc_CollateralMurder_Conversation_1_NPCStart_4,我的叔叔都比他可靠，真是搞不懂为什么有那么多人会上当。人们真是喜欢一些虚假的希望。
QuestLoc_CollateralMurder_Conversation_1_Team_1,你知道他在哪儿吗？
QuestLoc_CollateralMurder_QuestLongDescription,似乎只要你被《新波士顿号角报》提到，你就会遭到掠夺者无情的攻击。现在我们必须想想办法阻止这该死的新闻！
QuestLoc_CollateralMurder_QuestName,旁系杀手
QuestLoc_CollateralMurder_QuestObjective_1,见见在机器人工厂的居民们。
QuestLoc_CollateralMurder_QuestShortDescription,找到第一批遭到掠夺者袭击的居民。
QuestLoc_CollectorsEdition_Conversation_1_NPCEnd_1,我们的味觉很粗糙！
QuestLoc_CollectorsEdition_Conversation_1_NPCEnd_2,还没，但等杀了你我们就干！
QuestLoc_CollectorsEdition_Conversation_1_NPCEnd_3,是啊，但*那*会有多好玩呢？
QuestLoc_CollectorsEdition_Conversation_1_NPCStart_1,你们应该待在避难所里，居民们！
QuestLoc_CollectorsEdition_Conversation_1_NPCStart_2,首先我们要杀了你……
QuestLoc_CollectorsEdition_Conversation_1_NPCStart_3,……然后我们会让那个巧手先生把你烤得香喷喷的！
QuestLoc_CollectorsEdition_Conversation_1_Team_1,你不应该。巧手先生机器人做饭难吃极了。
QuestLoc_CollectorsEdition_Conversation_1_Team_2,这么说你已经把它从盒子里拿出来了？
